,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
30,984005,非洲,Africa,马达加斯加,Madagascar,马达加斯加,Madagascar,马达加斯加,80,82,0,2,0,,,1586261007854
31,965003,欧洲,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,波黑,598,674,0,47,29,,,1586261007854
32,982006,非洲,Africa,加纳,Ghana,加纳,Ghana,加纳,279,287,0,3,5,,,1586261007854
33,961005,欧洲,Europe,摩纳哥,Monaco,摩纳哥,Monaco,摩纳哥,73,77,0,3,1,,,1586261007854
34,955016,亚洲,Asia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,Saudi Arabia,沙特阿拉伯,2163,2752,0,551,38,,,1586261007854
35,990007,大洋洲,Oceania,新西兰,New Zealand,新西兰,New Zealand,新西兰,701,943,4,241,1,,,1586261007854
36,965013,欧洲,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,塞尔维亚,2142,2200,0,0,58,,,1586261007854
37,0,非洲,Africa,马约特,,马约特,,马约特,145,147,0,0,2,,,1586261007854
38,982014,非洲,Africa,塞内加尔,Senegal,塞内加尔,Senegal,塞内加尔,130,237,0,105,2,,,1586261007854
39,972001,北美洲,North America,伯利兹,Belize,伯利兹,Belize,伯利兹,5,5,0,0,0,,,1586261007854
40,952011,亚洲,Asia,越南,Vietnam,越南,Vietnam,越南,150,245,0,95,0,,,1586261007854
41,0,北美洲,North America,波多黎各,Puerto Rico,波多黎各,Puerto Rico,波多黎各,434,452,0,0,18,,,1586261007854
42,981002,非洲,Africa,埃及,Egypt,埃及,Egypt,埃及,978,1322,0,259,85,,,1586261007854
43,952009,亚洲,Asia,新加坡,Singapore,新加坡,Singapore,新加坡,1025,1375,0,344,6,,,1586261007854
44,982002,非洲,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,布基纳法索,238,364,0,108,18,,,1586261007854
45,990001,大洋洲,Oceania,澳大利亚,Australia,澳大利亚,Australia,澳大利亚,5680,5844,0,119,45,,,1586261007854
46,984013,非洲,Africa,津巴布韦,Zimbabwe,津巴布韦,Zimbabwe,津巴布韦,9,10,0,0,1,,,1586261007854
47,962002,欧洲,Europe,芬兰,Finland,芬兰,Finland,芬兰,2138,2176,0,10,28,,,1586261007854
48,952001,亚洲,Asia,缅甸,Burma,缅甸,Burma,缅甸,20,22,0,1,1,,,1586261007854
49,953004,亚洲,Asia,马尔代夫,Maldives,马尔代夫,Maldives,马尔代夫,6,19,0,13,0,,,1586261007854
50,984001,非洲,Africa,安哥拉,Angola,安哥拉,Angola,安哥拉,12,16,0,2,2,,,1586261007854
