,locationId,continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
156,964001,欧洲,Europe,白俄罗斯,Belarus,白俄罗斯,Belarus,白俄罗斯,442,502,0,52,8,,,1586146615856
157,0,北美洲,North America,百慕大,,百慕大,,百慕大,35,35,0,0,0,,,1586146615856
158,0,欧洲,Europe,直布罗陀,Gibraltar,直布罗陀,Gibraltar,直布罗陀,97,98,0,0,1,,,1586146615856
159,0,南美洲,South America,福克兰群岛,,福克兰群岛,,福克兰群岛,1,1,0,0,0,,,1586146615856
160,955011,亚洲,Asia,科威特,Kuwait,科威特,Kuwait,科威特,451,556,0,99,6,,,1586146615856
161,982004,非洲,Africa,科特迪瓦,Ivory Coast,科特迪瓦,Ivory Coast,科特迪瓦,221,261,0,37,3,,,1586146615856
162,0,欧洲,Europe,科索沃,,科索沃,,科索沃,30,31,0,0,1,,,1585040981468
163,973008,南美洲,South America,秘鲁,Peru,秘鲁,Peru,秘鲁,1284,2281,0,914,83,,,1586146615856
164,981006,非洲,Africa,突尼斯,Tunisia,突尼斯,Tunisia,突尼斯,552,574,0,0,22,,,1586146615856
165,964004,欧洲,Europe,立陶宛,Lithuania,立陶宛,Lithuania,立陶宛,798,811,0,1,12,,,1586146615856
166,985008,非洲,Africa,索马里,Somali,索马里,Somali,索马里,6,7,0,1,0,,,1586146615856
167,955010,亚洲,Asia,约旦,Jordan,约旦,Jordan,约旦,230,345,0,110,5,,,1586146615856
168,984009,非洲,Africa,纳米比亚,Namibia,纳米比亚,Namibia,纳米比亚,13,16,0,3,0,,,1586146615856
169,952001,亚洲,Asia,缅甸,Burma,缅甸,Burma,缅甸,19,21,0,1,1,,,1586146615856
170,965011,欧洲,Europe,罗马尼亚,Romania,罗马尼亚,Romania,罗马尼亚,3339,3864,0,374,151,,,1586146615856
171,971002,北美洲,North America,美国,United States of America,美国,United States of America,美国,310447,337620,0,17530,9643,,,1586147537323
172,0,北美洲,North America,美属维尔京群岛,,美属维尔京群岛,,美属维尔京群岛,40,40,0,0,0,,,1586146615856
173,952006,亚洲,Asia,老挝,Laos,老挝,Laos,老挝,10,10,0,0,0,,,1586085510377
